"ex# (Niches: 4NCase#. Object#
Tower cases: 4NCase#. Shelf#.Object#) ",accession#,object name,"h"" x w"" d""",mount,misc. info,,,
4N21.10,2007.18.1.5,Friction automobile, 4 x 3 x 13 in. ,,,,,
4N21.11,2007.18.1.8,Royal circus cage wagon,7 1/2 x 3 x 12 1/2 in. ,,,,,
4N21.12,2007.18.1.19,Royal Bus Line keywind bus,4 x 13 x 3 in. ,,,,,
4N21.13,2007.18.1.12,Coal wagon, 7 x 3 3/4 x 13 in. ,,,,,
4N21.14,2007.19.4b,Bank,5 1/2 x 3 1/2 x 3 in. ,,,,,
4N21.15,1957.258,Performing sea-lion,3 x 8 x 5 in. ,,,,,
4N21.16,1998.2,Band wagon,11 x 22 x 5 in. ,,,,,
4N21.17,1961.35a-s,Toy cupboard with pewter tea service,cupboard: 21 1/2 x 14 1/2 x 6 in.,,,,,
4N21.18,1937.486,Pull toy (elephant),17 3/4 x 24 x 10 1/4 in. ,,RISER,,,
4N21.19,1937.679,Mechanical bank,8 x 7 1/4 x 3 1/2 in. ,,WALL SHELVES,,,
4N21.20,1937.1392,Mechanical bank,6 x 8 x 5 in. ,,,,,
4N21.21,1937.1239,Still bank,6 1/2 x 5 1/4 x 5 in. ,,,,,
4N21.22,1940.468,Mechanical bank,6 3/4 x 4 3/4 x 4 1/2 in. ,,,,,
4N21.23,INV.9940,Water well with buckets,7 1/2 x 4 in. ,,,,,
4N21.24,1937.478,Steamboat pull toy,14 x 21 x 7 in. ,,RISER,,,
4N21.25,1937.1238,Cabin bank,3 1/2 x 4 1/2 x 2 7/8 in. ,,WALL SHELVES,,,
4N21.26,INV.4461,Pull toy (dog with basket),3 x 4 x 2 1/4 in. ,,,,,
